Episode,Average Success Rate
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.01
19,0.01
20,0.02
21,0.02
22,0.03
23,0.04
24,0.05
25,0.06
26,0.07
27,0.08
28,0.09
29,0.11
30,0.12
31,0.13
32,0.15
33,0.16
34,0.17
35,0.18
36,0.19
37,0.21
38,0.22
39,0.23
40,0.24
41,0.25
42,0.26
43,0.27
44,0.28
45,0.29
46,0.30
47,0.31
48,0.32
49,0.33
50,0.34
51,0.34
52,0.35
53,0.36
54,0.37
55,0.37
56,0.38
57,0.38
58,0.39
59,0.39
60,0.40
61,0.41
62,0.41
63,0.42
64,0.43
65,0.43
66,0.44
67,0.44
68,0.45
69,0.45
70,0.46
71,0.46
72,0.47
73,0.47
74,0.48
75,0.48
76,0.48
77,0.49
78,0.49
79,0.49
80,0.50
81,0.50
82,0.50
83,0.51
84,0.51
85,0.51
86,0.52
87,0.52
88,0.52
89,0.53
90,0.53
91,0.53
92,0.53
93,0.54
94,0.54
95,0.54
96,0.55
97,0.55
98,0.55
99,0.55
100,0.56
101,0.56
102,0.56
103,0.56
104,0.57
105,0.57
106,0.57
107,0.57
108,0.57
109,0.58
110,0.58
111,0.58
112,0.58
113,0.58
114,0.59
115,0.59
116,0.59
117,0.59
118,0.59
119,0.59
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.61
127,0.61
128,0.61
129,0.61
130,0.61
131,0.61
132,0.61
133,0.62
134,0.62
135,0.62
136,0.62
137,0.62
138,0.62
139,0.62
140,0.63
141,0.63
142,0.63
143,0.63
144,0.63
145,0.63
146,0.63
147,0.63
148,0.64
149,0.64
150,0.64
151,0.64
152,0.64
153,0.64
154,0.64
155,0.64
156,0.64
157,0.65
158,0.65
159,0.65
160,0.65
161,0.65
162,0.65
163,0.65
164,0.65
165,0.65
166,0.65
167,0.65
168,0.66
169,0.66
170,0.66
171,0.66
172,0.66
173,0.66
174,0.66
175,0.66
176,0.66
177,0.66
178,0.66
179,0.66
180,0.66
181,0.67
182,0.67
183,0.67
184,0.67
185,0.67
186,0.67
187,0.67
188,0.67
189,0.67
190,0.67
191,0.67
192,0.67
193,0.67
194,0.67
195,0.68
196,0.68
197,0.68
198,0.68
199,0.68
200,0.68
